crop,temperature,rainfall,soilType,season,expectedYield,region,date
Rice,28,950,Clay,Kharif,3200,Bangalore Rural,2023-06-15
Ragi,26,800,Red Loam,Kharif,1800,Bangalore Urban,2023-07-22
Maize,27,850,Red Sandy,Kharif,3500,Ramanagara,2023-08-05
Tomato,24,700,Black Clay,Rabi,12500,Bangalore Rural,2023-01-12
Onion,25,650,Red Loam,Rabi,9800,Chikkaballapur,2023-02-18
Potato,22,750,Black Clay,Rabi,14500,Bangalore Rural,2023-12-10
Groundnut,30,600,Red Sandy,Summer,2200,Tumakuru,2023-04-25
Sunflower,29,550,Red Loam,Summer,1500,Davanagere,2023-03-30
Coffee,23,1200,Laterite,Whole Year,950,Chikmagalur,2023-09-14
Sugarcane,31,1100,Clay,Whole Year,48000,Mandya,2023-11-05
Rice,27,1000,Clay,Kharif,3400,Bangalore Rural,2023-06-20
Ragi,25,850,Red Loam,Kharif,1900,Bangalore Urban,2023-07-15
Maize,28,900,Red Sandy,Kharif,3700,Ramanagara,2023-08-10
Tomato,23,750,Black Clay,Rabi,13000,Bangalore Rural,2023-01-20
Onion,24,700,Red Loam,Rabi,10200,Chikkaballapur,2023-02-10
Potato,21,800,Black Clay,Rabi,15000,Bangalore Rural,2023-12-15
Groundnut,31,650,Red Sandy,Summer,2400,Tumakuru,2023-04-15
Sunflower,30,600,Red Loam,Summer,1600,Davanagere,2023-03-25
Coffee,22,1250,Laterite,Whole Year,980,Chikmagalur,2023-09-20
Sugarcane,32,1150,Clay,Whole Year,50000,Mandya,2023-11-10
Rice,29,900,Clay,Kharif,3000,Bangalore Rural,2023-07-05
Ragi,27,750,Red Loam,Kharif,1700,Bangalore Urban,2023-08-12
Maize,26,800,Red Sandy,Kharif,3300,Ramanagara,2023-09-01
Tomato,25,650,Black Clay,Rabi,12000,Bangalore Rural,2023-02-05
Onion,26,600,Red Loam,Rabi,9500,Chikkaballapur,2023-01-25
Potato,23,700,Black Clay,Rabi,14000,Bangalore Rural,2023-11-20
Groundnut,29,550,Red Sandy,Summer,2000,Tumakuru,2023-05-10
Sunflower,28,500,Red Loam,Summer,1400,Davanagere,2023-04-20
Coffee,24,1100,Laterite,Whole Year,920,Chikmagalur,2023-10-15
Sugarcane,30,1000,Clay,Whole Year,46000,Mandya,2023-12-05
Rice,26,1100,Clay,Kharif,3600,Bangalore Rural,2023-07-25
Ragi,24,950,Red Loam,Kharif,2100,Bangalore Urban,2023-08-18
Maize,25,1000,Red Sandy,Kharif,3900,Ramanagara,2023-09-05
Tomato,22,800,Black Clay,Rabi,13500,Bangalore Rural,2023-01-30
Onion,23,750,Red Loam,Rabi,10500,Chikkaballapur,2023-02-22
Potato,20,850,Black Clay,Rabi,15500,Bangalore Rural,2023-12-20
Groundnut,32,700,Red Sandy,Summer,2600,Tumakuru,2023-04-30
Sunflower,31,650,Red Loam,Summer,1700,Davanagere,2023-03-15
Coffee,21,1300,Laterite,Whole Year,1000,Chikmagalur,2023-09-25
Sugarcane,33,1200,Clay,Whole Year,52000,Mandya,2023-11-15
Rice,30,850,Clay,Kharif,2800,Bangalore Rural,2023-06-30
Ragi,28,700,Red Loam,Kharif,1600,Bangalore Urban,2023-07-28
Maize,29,750,Red Sandy,Kharif,3100,Ramanagara,2023-08-15
Tomato,26,600,Black Clay,Rabi,11500,Bangalore Rural,2023-02-15
Onion,27,550,Red Loam,Rabi,9300,Chikkaballapur,2023-01-18
Potato,24,650,Black Clay,Rabi,13500,Bangalore Rural,2023-12-05
Groundnut,28,500,Red Sandy,Summer,1900,Tumakuru,2023-05-05
Sunflower,27,450,Red Loam,Summer,1300,Davanagere,2023-04-10
Coffee,25,1150,Laterite,Whole Year,940,Chikmagalur,2023-10-05
Sugarcane,29,1050,Clay,Whole Year,47000,Mandya,2023-12-15
Rice,27,1200,Clay,Kharif,3800,Bangalore Rural,2023-08-01
Ragi,25,1050,Red Loam,Kharif,2200,Bangalore Urban,2023-09-08
Maize,26,1100,Red Sandy,Kharif,4100,Ramanagara,2023-10-12
Tomato,21,900,Black Clay,Rabi,14000,Bangalore Rural,2023-03-05
Onion,22,850,Red Loam,Rabi,11000,Chikkaballapur,2023-02-28
Potato,19,900,Black Clay,Rabi,16000,Bangalore Rural,2023-01-10
Groundnut,33,750,Red Sandy,Summer,2800,Tumakuru,2023-05-20
Sunflower,32,700,Red Loam,Summer,1800,Davanagere,2023-04-05
Coffee,20,1350,Laterite,Whole Year,1020,Chikmagalur,2023-11-10
Sugarcane,34,1250,Clay,Whole Year,54000,Mandya,2023-12-25
Rice,25,1300,Clay,Kharif,4000,Bangalore Rural,2023-09-15
Ragi,23,1150,Red Loam,Kharif,2400,Bangalore Urban,2023-10-22
Maize,24,1200,Red Sandy,Kharif,4300,Ramanagara,2023-11-18
Tomato,20,1000,Black Clay,Rabi,14500,Bangalore Rural,2023-04-12
Onion,21,950,Red Loam,Rabi,11500,Chikkaballapur,2023-03-28
Potato,18,950,Black Clay,Rabi,16500,Bangalore Rural,2023-02-14
Groundnut,27,800,Red Sandy,Summer,3000,Tumakuru,2023-06-15
Sunflower,26,750,Red Loam,Summer,1900,Davanagere,2023-05-25
Coffee,19,1400,Laterite,Whole Year,1050,Chikmagalur,2023-12-10
Sugarcane,28,1300,Clay,Whole Year,55000,Mandya,2023-01-20
Rice,26,1400,Clay,Kharif,4200,Bangalore Rural,2023-10-05
Ragi,24,1250,Red Loam,Kharif,2600,Bangalore Urban,2023-11-12
Maize,25,1300,Red Sandy,Kharif,4500,Ramanagara,2023-12-18
Tomato,19,1100,Black Clay,Rabi,15000,Bangalore Rural,2023-05-15
Onion,20,1050,Red Loam,Rabi,12000,Chikkaballapur,2023-04-28
Potato,17,1000,Black Clay,Rabi,17000,Bangalore Rural,2023-03-14
Groundnut,26,850,Red Sandy,Summer,3200,Tumakuru,2023-07-10
Sunflower,25,800,Red Loam,Summer,2000,Davanagere,2023-06-20
Coffee,18,1450,Laterite,Whole Year,1080,Chikmagalur,2023-01-05
Sugarcane,27,1350,Clay,Whole Year,56000,Mandya,2023-02-15
Rice,24,1500,Clay,Kharif,4400,Bangalore Rural,2023-11-20
Ragi,22,1350,Red Loam,Kharif,2800,Bangalore Urban,2023-12-22
Maize,23,1400,Red Sandy,Kharif,4700,Ramanagara,2023-01-18
Tomato,18,1200,Black Clay,Rabi,15500,Bangalore Rural,2023-06-18
Onion,19,1150,Red Loam,Rabi,12500,Chikkaballapur,2023-05-30
Potato,16,1050,Black Clay,Rabi,17500,Bangalore Rural,2023-04-14
Groundnut,25,900,Red Sandy,Summer,3400,Tumakuru,2023-08-05
Sunflower,24,850,Red Loam,Summer,2100,Davanagere,2023-07-15
Coffee,17,1500,Laterite,Whole Year,1100,Chikmagalur,2023-02-10
Sugarcane,26,1400,Clay,Whole Year,57000,Mandya,2023-03-20
Rice,23,1600,Clay,Kharif,4600,Bangalore Rural,2023-12-30
Ragi,21,1450,Red Loam,Kharif,3000,Bangalore Urban,2023-01-22
Maize,22,1500,Red Sandy,Kharif,4900,Ramanagara,2023-02-28
Tomato,17,1300,Black Clay,Rabi,16000,Bangalore Rural,2023-07-20
Onion,18,1250,Red Loam,Rabi,13000,Chikkaballapur,2023-06-28
Potato,15,1100,Black Clay,Rabi,18000,Bangalore Rural,2023-05-14
Groundnut,24,950,Red Sandy,Summer,3600,Tumakuru,2023-09-10
Sunflower,23,900,Red Loam,Summer,2200,Davanagere,2023-08-15
Coffee,16,1550,Laterite,Whole Year,1120,Chikmagalur,2023-03-15
Sugarcane,25,1450,Clay,Whole Year,58000,Mandya,2023-04-20
Rice,22,1700,Clay,Kharif,4800,Bangalore Rural,2023-01-15
Ragi,20,1550,Red Loam,Kharif,3200,Bangalore Urban,2023-02-22
Maize,21,1600,Red Sandy,Kharif,5100,Ramanagara,2023-03-30
Tomato,16,1400,Black Clay,Rabi,16500,Bangalore Rural,2023-08-22
Onion,17,1350,Red Loam,Rabi,13500,Chikkaballapur,2023-07-30
Potato,14,1150,Black Clay,Rabi,18500,Bangalore Rural,2023-06-14
Groundnut,23,1000,Red Sandy,Summer,3800,Tumakuru,2023-10-15
Sunflower,22,950,Red Loam,Summer,2300,Davanagere,2023-09-20
Coffee,15,1600,Laterite,Whole Year,1150,Chikmagalur,2023-04-15
Sugarcane,24,1500,Clay,Whole Year,59000,Mandya,2023-05-20
Rice,21,1800,Clay,Kharif,5000,Bangalore Rural,2023-02-10
Ragi,19,1650,Red Loam,Kharif,3400,Bangalore Urban,2023-03-18
Maize,20,1700,Red Sandy,Kharif,5300,Ramanagara,2023-04-25
Tomato,15,1500,Black Clay,Rabi,17000,Bangalore Rural,2023-09-25
Onion,16,1450,Red Loam,Rabi,14000,Chikkaballapur,2023-08-30
Potato,13,1200,Black Clay,Rabi,19000,Bangalore Rural,2023-07-14
Groundnut,22,1050,Red Sandy,Summer,4000,Tumakuru,2023-11-15
Sunflower,21,1000,Red Loam,Summer,2400,Davanagere,2023-10-20
Coffee,14,1650,Laterite,Whole Year,1180,Chikmagalur,2023-05-15
Sugarcane,23,1550,Clay,Whole Year,60000,Mandya,2023-06-20
Rice,20,1900,Clay,Kharif,5200,Bangalore Rural,2023-03-05
Ragi,18,1750,Red Loam,Kharif,3600,Bangalore Urban,2023-04-12
Maize,19,1800,Red Sandy,Kharif,5500,Ramanagara,2023-05-20
Tomato,14,1600,Black Clay,Rabi,17500,Bangalore Rural,2023-10-28
Onion,15,1550,Red Loam,Rabi,14500,Chikkaballapur,2023-09-30
Potato,12,1250,Black Clay,Rabi,19500,Bangalore Rural,2023-08-14
Groundnut,21,1100,Red Sandy,Summer,4200,Tumakuru,2023-12-15
Sunflower,20,1050,Red Loam,Summer,2500,Davanagere,2023-11-20
Coffee,13,1700,Laterite,Whole Year,1200,Chikmagalur,2023-06-15
Sugarcane,22,1600,Clay,Whole Year,61000,Mandya,2023-07-20
Rice,19,2000,Clay,Kharif,5400,Bangalore Rural,2023-04-10
Ragi,17,1850,Red Loam,Kharif,3800,Bangalore Urban,2023-05-18
